t_dat,customer_id,article_id,price,sales_channel_id
2026-07-05,cust_0031_4968,108775034,0.0809,2
2026-07-07,cust_0004_8787,108775034,0.0461,2
2026-07-04,cust_0018_2445,108775012,0.0356,2
2026-06-14,cust_0002_3301,108775009,0.0172,2
2026-07-28,cust_0022_2236,108775013,0.0693,1
2026-06-15,cust_0012_8732,108775045,0.0825,2
2026-07-14,cust_0018_2445,108775076,0.0446,2
2026-07-18,cust_0024_2948,108775036,0.0911,1
2026-07-29,cust_0005_8319,108775042,0.0284,2
2026-06-08,cust_0004_8787,108775002,0.0526,2
2026-07-14,cust_0019_2130,108775049,0.0596,2
2026-06-09,cust_0003_6144,108775041,0.0787,2
2026-07-10,cust_0036_1116,108775063,0.0996,1
2026-06-13,cust_0012_8732,108775058,0.0368,1
2026-07-07,cust_0031_4968,108775008,0.0793,1
2026-06-17,cust_0003_6144,108775010,0.0776,1
2026-06-08,cust_0008_5711,108775051,0.0542,1
2026-07-19,cust_0002_3301,108775045,0.0371,1
2026-07-27,cust_0019_2130,108775012,0.0218,2
2026-07-19,cust_0018_2445,108775076,0.0262,1
2026-06-24,cust_0017_6350,108775049,0.0177,2
2026-07-28,cust_0024_2948,108775054,0.0555,1
2026-06-26,cust_0034_9710,108775047,0.083,2
2026-06-18,cust_0033_1621,108775068,0.0592,1
2026-06-06,cust_0002_3301,108775010,0.0968,2
2026-07-06,cust_0013_9540,108775059,0.0777,1
2026-06-09,cust_0037_3229,108775014,0.0327,2
2026-06-23,cust_0009_4247,108775076,0.0628,2
2026-07-26,cust_0031_4968,108775060,0.0181,2
2026-06-26,cust_0028_3100,108775035,0.0848,1
2026-07-07,cust_0018_2445,108775036,0.0599,1
2026-07-01,cust_0013_9540,108775078,0.0335,2
2026-06-28,cust_0035_9840,108775010,0.0442,2
2026-06-30,cust_0006_3713,108775030,0.0645,1
2026-07-02,cust_0019_2130,108775041,0.0663,1
2026-07-07,cust_0030_2645,108775071,0.0421,1
2026-07-25,cust_0004_8787,108775038,0.0478,2
2026-07-21,cust_0029_2592,108775076,0.081,2
2026-07-10,cust_0019_2130,108775001,0.0849,2
2026-06-17,cust_0024_2948,108775018,0.0507,1
2026-07-26,cust_0009_4247,108775056,0.048,2
2026-07-25,cust_0025_6963,108775006,0.0179,2
2026-07-16,cust_0004_8787,108775008,0.0925,1
2026-07-26,cust_0009_4247,108775029,0.0621,1
2026-06-14,cust_0004_8787,108775037,0.071,2
2026-06-01,cust_0022_2236,108775075,0.0221,2
2026-06-04,cust_0017_6350,108775026,0.0707,1
2026-07-22,cust_0036_1116,108775084,0.0136,1
2026-06-24,cust_0000_6796,108775027,0.0465,1
2026-06-03,cust_0033_1621,108775040,0.0434,2
2026-06-07,cust_0020_9961,108775084,0.0793,1
2026-07-10,cust_0024_2948,108775071,0.0424,1
2026-06-19,cust_0032_6636,108775051,0.04,2
2026-07-14,cust_0022_2236,108775049,0.0904,1
2026-07-14,cust_0038_1164,108775002,0.0923,1
2026-06-30,cust_0016_2137,108775082,0.071,1
2026-07-18,cust_0035_9840,108775050,0.0438,2
2026-06-15,cust_0001_5325,108775052,0.0975,1
