article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108775050,10877505,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.
108775051,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.
108775052,10877505,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.
108775053,10877505,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775054,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775055,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775056,10877505,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775057,10877505,Sample Socks,101,Socks,Garment Upper body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.
108775058,10877505,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.
108775059,10877505,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.
108775060,10877506,Sample Sneakers,101,Sneakers,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.
108775061,10877506,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in White.
108775062,10877506,Sample Dress,101,Dress,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.
108775063,10877506,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775064,10877506,Sample Socks,101,Socks,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.
108775065,10877506,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Grey.
108775066,10877506,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775067,10877506,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.
108775068,10877506,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.
108775069,10877506,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.
108775070,10877507,Sample Sweater,101,Sweater,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.
108775071,10877507,Sample T-shirt,101,T-shirt,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.
108775072,10877507,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.
108775073,10877507,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.
108775074,10877507,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775075,10877507,Sample Sweater,101,Sweater,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775076,10877507,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.
108775077,10877507,Sample Socks,101,Socks,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Green.
108775078,10877507,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.
108775079,10877507,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.
108775080,10877508,Sample Dress,101,Dress,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Grey.
108775081,10877508,Sample Dress,101,Dress,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.
108775082,10877508,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.
108775083,10877508,Sample Socks,101,Socks,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.
108775084,10877508,Sample Dress,101,Dress,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.
108775085,10877508,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.
108775086,10877508,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.
108775087,10877508,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775088,10877508,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775089,10877508,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.
108775090,10877509,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.
108775091,10877509,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.
108775092,10877509,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.
108775093,10877509,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775094,10877509,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775095,10877509,Sample Socks,101,Socks,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.
108775096,10877509,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775097,10877509,Sample Trousers,101,Trousers,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775098,10877509,Sample T-shirt,101,T-shirt,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in White.
108775099,10877509,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Red.
108775100,10877510,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
