article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,pop_total_sales,article_avg_price,pop_30d_sales
108775029,10877502,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Blue.,3,0.06810000000000001,2
108775030,10877503,Sample Trousers,101,Trousers,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Grey.,3,0.0567,2
108775031,10877503,Sample Socks,101,Socks,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Green.,3,0.06486666666666667,2
108775032,10877503,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,3,0.03233333333333333,2
108775033,10877503,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Grey.,3,0.050633333333333336,2
108775034,10877503,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Red.,6,0.050383333333333336,3
108775035,10877503,Sample Trousers,101,Trousers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,2,0.0627,1
108775036,10877503,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Black.,3,0.0674,2
108775037,10877503,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,3,0.06483333333333334,0
108775038,10877503,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,5,0.055400000000000005,4
108775039,10877503,Sample Socks,101,Socks,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.,2,0.062,1
108775040,10877504,Sample Socks,101,Socks,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.,5,0.05336,2
108775041,10877504,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.,2,0.07250000000000001,1
108775042,10877504,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,2,0.0456,2
108775043,10877504,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,6,0.03835,2
108775044,10877504,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,2,0.0578,1
108775045,10877504,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.,3,0.04323333333333334,2
108775046,10877504,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,3,0.06813333333333334,2
108775047,10877504,Sample Socks,101,Socks,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.,5,0.06926,1
108775048,10877504,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Blue.,1,0.0654,1
108775049,10877504,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,5,0.06858,3
108775050,10877505,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.,3,0.04783333333333333,2
108775051,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.,5,0.0752,1
108775052,10877505,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.,4,0.068125,1
108775053,10877505,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,2,0.06985,1
108775054,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,3,0.07343333333333334,2
108775055,10877505,Sample Trousers,101,Trousers,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,5,0.043820000000000005,2
108775056,10877505,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,3,0.07853333333333333,3
108775057,10877505,Sample Socks,101,Socks,Garment Upper body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.,1,0.0122,1
108775058,10877505,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.,3,0.05393333333333333,1
108775059,10877505,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.,3,0.07553333333333334,1
108775060,10877506,Sample Sneakers,101,Sneakers,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.,2,0.03095,1
108775061,10877506,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in White.,5,0.06008,3
108775062,10877506,Sample Dress,101,Dress,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.,2,0.06465,2
108775063,10877506,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,2,0.0693,1
108775064,10877506,Sample Socks,101,Socks,Swimwear,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.,1,0.0519,0
108775065,10877506,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Grey.,1,0.0916,0
108775066,10877506,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,0,0.0,0
108775067,10877506,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.,3,0.06276666666666668,0
108775068,10877506,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.,3,0.06276666666666667,0
108775069,10877506,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.,4,0.06895,3
108775070,10877507,Sample Sweater,101,Sweater,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.,2,0.0525,0
108775071,10877507,Sample T-shirt,101,T-shirt,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.,6,0.06298333333333334,3
108775072,10877507,Sample Dress,101,Dress,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.,4,0.0586,3
108775073,10877507,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.,1,0.059,1
108775074,10877507,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,3,0.0653,3
108775075,10877507,Sample Sweater,101,Sweater,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,2,0.028650000000000002,0
108775076,10877507,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.,6,0.059533333333333334,3
108775077,10877507,Sample Socks,101,Socks,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Green.,3,0.0722,2
108775078,10877507,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.,3,0.06766666666666667,3
108775079,10877507,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.,0,0.0,0
108775080,10877508,Sample Dress,101,Dress,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Grey.,4,0.044125,3
108775081,10877508,Sample Dress,101,Dress,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.,1,0.0382,0
108775082,10877508,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.,1,0.071,0
108775083,10877508,Sample Socks,101,Socks,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.,1,0.067,0
108775084,10877508,Sample Dress,101,Dress,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Green.,3,0.05366666666666666,2
108775085,10877508,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.,4,0.069475,2
108775086,10877508,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.,0,0.0,0
108775087,10877508,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,0,0.0,0
108775088,10877508,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,0,0.0,0
108775089,10877508,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Green.,0,0.0,0
108775090,10877509,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Green.,0,0.0,0
108775091,10877509,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.,0,0.0,0
108775092,10877509,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Grey.,0,0.0,0
108775093,10877509,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,0,0.0,0
108775094,10877509,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,0,0.0,0
108775095,10877509,Sample Socks,101,Socks,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.,0,0.0,0
108775096,10877509,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,0,0.0,0
108775097,10877509,Sample Trousers,101,Trousers,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,0,0.0,0
108775098,10877509,Sample T-shirt,101,T-shirt,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in White.,0,0.0,0
108775099,10877509,Sample T-shirt,101,T-shirt,Accessories,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Red.,0,0.0,0
108775100,10877510,Sample Dress,101,Dress,Swimwear,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,0,0.0,0
